ttid,rank,title,fulltitle,year,image_url,crew,imdb_rating,imdb_rating_count
tt6741278,83,Invincible,Invincible (2021),2021,"https://m.media-amazon.com/images/M/MV5BMmE1ODVhMGYtODYyYS00Mjc4LWIzN2EtYWZkZDg1MTUyNDkxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Steven Yeun, J.K. Simmons",8.7,108427
tt1831164,84,Leyla and Mecnun,Leyla and Mecnun (2011),2011,"https://m.media-amazon.com/images/M/MV5BZGZlN2QzYTQtNmZkMy00YjdiLWIwOGUtMzlhZTJlMmIyNmJhXkEyXkFqcGdeQXVyOTQ2MjQ3MTI@._V1_UY176_CR6,0,128,176_AL_.jpg","Ali Atay, Serkan Keskin",8.7,92706
tt0367279,85,Arrested Development,Arrested Development (2003),2003,"https://m.media-amazon.com/images/M/MV5BNTFlYTE2YTItZmQ1NS00ZWQ5LWI3OGUtYTQzNDMyZmEyYTZjXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX128_CR0,3,128,176_AL_.jpg","Jason Bateman, Michael Cera",8.7,294628
tt0248654,86,Six Feet Under,Six Feet Under (2001),2001,"https://m.media-amazon.com/images/M/MV5BN2FmMjg0Y2YtYmMyYi00MTBjLTllYzMtN2VjYzRhOTVmNWRlXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX128_CR0,1,128,176_AL_.jpg","Peter Krause, Michael C. Hall",8.6,130672
tt0121955,87,South Park,South Park (1997),1997,"https://m.media-amazon.com/images/M/MV5BOGE2YWUzMDItNTg2Ny00NTUzLTlmZGYtNWMyNzVjMjQ3MThkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,3,128,176_AL_.jpg","Trey Parker, Matt Stone",8.6,355024
tt0086661,88,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes (1984),1984,"https://m.media-amazon.com/images/M/MV5BOTU0ODg2ODMtZDQ0OS00N2MzLWIwYWUtZDQ2N2E2ZTZiNzI1XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX128_CR0,1,128,176_AL_.jpg","Jeremy Brett, David Burke",8.6,21620
tt4574334,89,Stranger Things,Stranger Things (2016),2016,"https://m.media-amazon.com/images/M/MV5BN2ZmYjg1YmItNWQ4OC00YWM0LWE0ZDktYThjOTZiZjhhN2Q2XkEyXkFqcGdeQXVyNjgxNTQ3Mjk@._V1_UX128_CR0,3,128,176_AL_.jpg","Millie Bobby Brown, Finn Wolfhard",8.6,966625
tt5788792,90,The Marvelous Mrs. Maisel,The Marvelous Mrs. Maisel (2017),2017,"https://m.media-amazon.com/images/M/MV5BMzk2ZmFhNjMtOWM2YS00MGU4LTk3ODMtY2Q2MjU2ODA0MDg4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Rachel Brosnahan, Alex Borstein",8.6,100509
tt1190634,91,The Boys,The Boys (2019),2019,"https://m.media-amazon.com/images/M/MV5BNGEyOGJiNWEtMTgwMi00ODU4LTlkMjItZWI4NjFmMzgxZGY2XkEyXkFqcGdeQXVyNjcyNjcyMzQ@._V1_UX128_CR0,3,128,176_AL_.jpg","Karl Urban, Jack Quaid",8.6,347708
tt6025022,92,Justice League Unlimited,Justice League Unlimited (2004),2004,"https://m.media-amazon.com/images/M/MV5BMTI3MjI1NTAtYjI2ZS00OTVlLTk0OTQtNTc5M2U3NmNmYjMzXkEyXkFqcGdeQXVyOTgwMzk1MTA@._V1_UX128_CR0,3,128,176_AL_.jpg","George Newbern, Kevin Conroy",8.6,14484
